file,vertex,edge,color,iterations,durations, ,tabuTenure
..\GCP_instances\DSJC125.5.col,125,3891,17,293317,0.438, ,target+ rand() % 30 +  10 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,467917,0.693, ,target+ rand() % 30 +  10 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,445208,0.665, ,target+ rand() % 30 +  10 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,86490,0.151, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,221688,0.364, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,195513,0.315, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,2281600,3.509, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,498437,0.794, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,568646,0.954, ,target+ rand() % 20 +  30 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,291605,0.513, ,target+ rand() % 20 +  30 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,1481862,2.529, ,target+ rand() % 20 +  30 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,98594,0.182, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.9.col,125,6961,44,3052,0.024, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.9.col,125,6961,44,5336,0.026, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,10711,0.031, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,7414,0.021, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,48952,0.058, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.5.col,250,15668,28,11147093,32.136, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.5.col,250,15668,28,50573059,142.094, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.9.col,250,27897,73,57987,0.262, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.9.col,250,27897,72,3352223,11.983, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.9.col,250,27897,72,685514,2.601, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC500.1.col,500,12458,13,87798,0.293, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC500.1.col,500,12458,12,FAIL,best=2, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC500.5.col,500,62624,49,FAIL,best=4, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC500.5.col,500,62624,50,25021618,149.468, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC250.9.col,250,27897,72,7734352,27.988, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,6,127,0.017, ,target+ rand() % 10 +  iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,565738,0.447, ,target+ rand() % 10 +  iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.1.col,125,736,5,4335775,3.072, ,target+ rand() % 10 +  iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,18,33118,0.051, ,target+ rand() % 10 +  iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,FAIL,best=1, ,target+ rand() % 10 +  iterTimes + colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,18,395836,0.356, ,target+ rand() % 10 +  iterTimes 
..\GCP_instances\DSJC125.5.col,125,3891,17,FAIL,best=3, ,target+ rand() % 10 +  iterTimes 
..\GCP_instances\DSJC125.9.col,125,6961,45,4701927,13.795, ,target+ rand() % 10 +  iterTimes 
..\GCP_instances\DSJC125.9.col,125,6961,44,147934,0.232, ,target+ rand() % 10 +  iterTimes 
..\GCP_instances\DSJC125.9.col,125,6961,44,15466,0.046, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.9.col,125,6961,44,6600,0.033, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,1105330,1.668, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,1013775,1.541, ,target+ rand() % 25 +  15 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,168332,0.264, ,target+ rand() % 25 +  15 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,349033,0.537, ,target+ rand() % 25 +  15 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,682106,1.118, ,target+ rand() % 20 +  15 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,1245605,1.763, ,target+ rand() % 20 +  15 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,1171517,1.827, ,target+ rand() % 20 +  15 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,2144930,3.307, ,target+ rand() % 30 +  15 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,335137,0.547, ,target+ rand() % 30 +  15 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,1394524,2.14, ,target+ rand() % 30 +  15 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,2812836,4.477, ,target+ rand() % 30 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,1222285,1.981, ,target+ rand() % 30 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,280789,0.468, ,target+ rand() % 30 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,349497,0.584, ,target+ rand() % 30 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,208605,0.321, ,target+ rand() % 10 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,215117,0.341, ,target+ rand() % 10 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,1007963,1.494, ,target+ rand() % 10 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,761807,1.141, ,target+ rand() % 10 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,188483,0.29, ,target+ rand() % 15 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,1797833,2.669, ,target+ rand() % 15 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,656445,1.008, ,target+ rand() % 15 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,1170544,1.723, ,target+ rand() % 15 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,2162896,3.318, ,target+ rand() % 25 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,100904,0.174, ,target+ rand() % 25 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,829828,1.273, ,target+ rand() % 25 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,2278074,3.577, ,target+ rand() % 25 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
..\GCP_instances\DSJC125.5.col,125,3891,17,1683485,3.147, ,target+ rand() % 20 +  20 + iterTimes + 2 *colorNum * freq[i][j] / freq_all )
